team,event_type,gh_time,global_id,student,sprint
t03,commit,2024-02-21T02:37:20Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-20T21:12:26Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-20T20:38:58Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-20T20:21:14Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-20T20:09:43Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-20T19:19:44Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-20T05:06:10Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-19T21:33:02Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-19T21:25:17Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-19T20:27:59Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-19T17:48:03Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-19T16:08:51Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-19T15:52:29Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-19T13:43:21Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-18T14:35:36Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-18T00:09:08Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-17T23:18:13Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-17T23:08:10Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-17T22:55:38Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-17T22:54:45Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-17T22:53:02Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-17T18:46:43Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-17T17:53:01Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-17T16:12:13Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-17T15:14:00Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-17T15:03:09Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-17T03:03:30Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-16T22:47:01Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-16T22:46:25Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-16T13:02:45Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-16T12:57:09Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-16T00:19:42Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-16T00:00:44Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-15T23:57:40Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-15T21:52:51Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-15T20:27:46Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-15T20:07:33Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-15T16:38:48Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-15T13:15:09Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-15T13:14:37Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-15T12:50:23Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-15T03:09:44Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-15T03:07:54Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-15T03:06:11Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-15T03:03:05Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-15T03:02:05Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-15T02:56:31Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-15T02:50:12Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-15T02:45:18Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-15T02:09:27Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-15T01:57:26Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-15T01:53:46Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-15T01:49:24Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-15T01:45:47Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-15T01:44:23Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-15T01:42:27Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-15T01:40:40Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-15T01:34:06Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-15T01:24:48Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-15T01:12:04Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-14T21:53:14Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-14T21:50:43Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-14T21:46:56Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-14T21:42:23Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-14T17:53:37Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-14T17:51:08Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-14T17:44:49Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-14T17:26:08Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-14T17:23:31Z,g001,t03_s01,Sprint 1
