team,label,student,sprint,global_id
t12,good teammate,t12_s05,Sprint 1,g038
t13,good teammember,t13_s05,Sprint 1,g046
t13,good teammate,t13_s01,Sprint 1,g035
t13,couch potato,t13_s02,Sprint 1,g036
t13,good teammate,t13_s04,Sprint 1,g040
t13,good teammate,t13_s03,Sprint 1,g037
t13,good teammember,t13_s04,Sprint 1,g040
t13,good teammate,t13_s01,Sprint 1,g035
t13,good teammate,t13_s05,Sprint 1,g046
t13,good teammate,t13_s03,Sprint 1,g037
t13,good teammate,t13_s02,Sprint 1,g036
t13,good teammember,t13_s03,Sprint 1,g037
t13,good teammate,t13_s01,Sprint 1,g035
t13,good teammate,t13_s04,Sprint 1,g040
t13,lone wolf,t13_s02,Sprint 1,g036
t13,good teammate,t13_s05,Sprint 1,g046
t13,good teammember,t13_s03,Sprint 1,g037
t13,good teammate,t13_s01,Sprint 1,g035
t13,good teammate,t13_s04,Sprint 1,g040
t13,lone wolf,t13_s02,Sprint 1,g036
t13,good teammate,t13_s05,Sprint 1,g046
t13,good teammember,t13_s02,Sprint 1,g036
t13,good teammate,t13_s01,Sprint 1,g035
t13,good teammate,t13_s03,Sprint 1,g037
t13,good teammate,t13_s04,Sprint 1,g040
t13,good teammate,t13_s05,Sprint 1,g046
t13,good teammember,t13_s01,Sprint 1,g035
t13,good teammate,t13_s04,Sprint 1,g040
t13,good teammate,t13_s03,Sprint 1,g037
t13,good teammate,t13_s05,Sprint 1,g046
t13,hitchhiker,t13_s02,Sprint 1,g036
t14,good teammember,t14_s03,Sprint 1,g111
t14,good teammate,t14_s01,Sprint 1,g104
t14,good teammate,t14_s02,Sprint 1,g107
t14,good teammate,t14_s04,Sprint 1,g112
t14,hitchhiker,t14_s05,Sprint 1,g116
t14,good teammember,t14_s05,Sprint 1,g116
t14,good teammate,t14_s01,Sprint 1,g104
t14,good teammate,t14_s04,Sprint 1,g112
t14,good teammate,t14_s02,Sprint 1,g107
t14,good teammate,t14_s03,Sprint 1,g111
t14,good teammember,t14_s02,Sprint 1,g107
t14,good teammate,t14_s01,Sprint 1,g104
t14,good teammate,t14_s04,Sprint 1,g112
t14,good teammate,t14_s05,Sprint 1,g116
t14,good teammate,t14_s03,Sprint 1,g111
t14,good teammember,t14_s01,Sprint 1,g104
t14,good teammate,t14_s02,Sprint 1,g107
t14,good teammate,t14_s04,Sprint 1,g112
t14,gamer,t14_s05,Sprint 1,g116
t14,good teammate,t14_s03,Sprint 1,g111
t14,good teammember,t14_s04,Sprint 1,g112
t14,good teammate,t14_s02,Sprint 1,g107
t14,good teammate,t14_s01,Sprint 1,g104
t14,good teammate,t14_s05,Sprint 1,g116
t14,good teammate,t14_s03,Sprint 1,g111
t15,good teammember,t15_s01,Sprint 1,g087
t15,good teammate,t15_s02,Sprint 1,g096
t15,good teammate,t15_s04,Sprint 1,g108
t15,good teammate,t15_s03,Sprint 1,g098
t15,good teammate,t15_s05,Sprint 1,g110
t15,good teammember,t15_s05,Sprint 1,g110
t15,good teammate,t15_s03,Sprint 1,g098
t15,good teammate,t15_s02,Sprint 1,g096
t15,good teammate,t15_s01,Sprint 1,g087
t15,good teammate,t15_s04,Sprint 1,g108
t15,good teammember,t15_s04,Sprint 1,g108
t15,lone wolf,t15_s03,Sprint 1,g098
t15,good teammate,t15_s01,Sprint 1,g087
t15,good teammate,t15_s02,Sprint 1,g096
t15,lone wolf,t15_s05,Sprint 1,g110
t15,good teammember,t15_s03,Sprint 1,g098
t15,good teammate,t15_s01,Sprint 1,g087
t15,good teammate,t15_s02,Sprint 1,g096
t15,good teammate,t15_s05,Sprint 1,g110
t15,good teammate,t15_s04,Sprint 1,g108
t15,good teammember,t15_s02,Sprint 1,g096
t15,good teammate,t15_s01,Sprint 1,g087
t15,good teammate,t15_s03,Sprint 1,g098
t15,good teammate,t15_s04,Sprint 1,g108
t15,hitchhiker,t15_s05,Sprint 1,g110
t16,good teammember,t16_s02,Sprint 1,g101
t16,good teammate,t16_s05,Sprint 1,g119
t16,good teammate,t16_s03,Sprint 1,g114
t16,good teammate,t16_s01,Sprint 1,g100
t16,hitchhiker,t16_s04,Sprint 1,g115
t16,good teammember,t16_s01,Sprint 1,g100
t16,good teammate,t16_s02,Sprint 1,g101
t16,good teammate,t16_s05,Sprint 1,g119
t16,good teammate,t16_s03,Sprint 1,g114
t16,hitchhiker,t16_s04,Sprint 1,g115
t16,good teammember,t16_s05,Sprint 1,g119
t16,good teammate,t16_s02,Sprint 1,g101
t16,good teammate,t16_s03,Sprint 1,g114
t16,good teammate,t16_s01,Sprint 1,g100
t16,hitchhiker,t16_s04,Sprint 1,g115
t16,lone wolf,t16_s04,Sprint 1,g115
t16,good teammate,t16_s03,Sprint 1,g114
t16,good teammate,t16_s05,Sprint 1,g119
t16,good teammate,t16_s02,Sprint 1,g101
t16,good teammate,t16_s01,Sprint 1,g100
t16,good teammate,t16_s03,Sprint 1,g114
t16,good teammate,t16_s02,Sprint 1,g101
t16,good teammate,t16_s05,Sprint 1,g119
